name,full_name,html_url,created_at,updated_at,pushed_at,archived,fork,language,stargazers_count,homepage,description
non69,Nonarkara/non69,https://github.com/Nonarkara/non69,2026-03-26T07:36:10Z,2026-03-27T03:01:59Z,2026-03-27T03:01:55Z,false,false,TypeScript,0,,"DrNon — Thailand Watch Intelligence Dashboard. Satellite overlays, Claude-powered analysis, civic signals."
Non-Claude-Skills,Nonarkara/Non-Claude-Skills,https://github.com/Nonarkara/Non-Claude-Skills,2026-03-26T07:50:31Z,2026-08-21T15:46:39Z,2026-08-21T15:45:58Z,false,false,Shell,0,,"Dr-Non-Stack: Complete Claude Code skill — design system, database strategy, SEO pipeline, 60+ free APIs, satellite data, news pipeline"
smart-city-thailand-index,Nonarkara/smart-city-thailand-index,https://github.com/Nonarkara/smart-city-thailand-index,2026-04-01T20:22:31Z,2026-08-25T16:44:07Z,2026-08-25T16:31:22Z,false,false,HTML,0,https://smart-city-thailand-index.vercel.app,"Thailand smart city index — measuring reality, not paper plans. Built on SLIC methodology."
mem-by-non,Nonarkara/mem-by-non,https://github.com/Nonarkara/mem-by-non,2026-04-03T10:47:51Z,2026-08-21T15:46:31Z,2026-08-21T15:46:10Z,false,false,JavaScript,0,https://mem-by-non.vercel.app,Middle Eastern Monitor (MEM) — standalone conflict tracker dashboard by Dr Non
middleeast-monitor,Nonarkara/middleeast-monitor,https://github.com/Nonarkara/middleeast-monitor,2026-04-07T07:07:12Z,2026-06-04T09:45:19Z,2026-06-04T09:45:15Z,false,false,HTML,0,,"Middle East War Monitor — real-time conflict tracker with PMUA, depa, Axiom"
live-coding-bible,Nonarkara/live-coding-bible,https://github.com/Nonarkara/live-coding-bible,2026-04-09T02:17:48Z,2026-08-13T06:03:25Z,2026-08-13T06:02:52Z,false,false,,0,,How Dr. Non builds data-heavy dashboards with AI — The Live Coding Bible
kuching-ioc,Nonarkara/kuching-ioc,https://github.com/Nonarkara/kuching-ioc,2026-04-11T05:19:36Z,2026-08-25T09:16:24Z,2026-08-25T09:13:10Z,false,false,JavaScript,0,,Daniel's Goh Greater Kuching Intelligent Operation Center — Smart City Dashboard
offline-ai-coding,Nonarkara/offline-ai-coding,https://github.com/Nonarkara/offline-ai-coding,2026-04-11T05:56:19Z,2026-08-13T06:00:14Z,2026-08-13T05:59:44Z,false,false,Shell,0,,Stop paying for tokens. Code with AI offline. One command setup.
SLIC-Index-V1,Nonarkara/SLIC-Index-V1,https://github.com/Nonarkara/SLIC-Index-V1,2026-04-13T12:13:28Z,2026-08-31T12:58:31Z,2026-07-22T11:20:57Z,true,false,HTML,0,,SLIC Index V1 — Original 103-city static ranking (archive)
SLIC-Index-V2,Nonarkara/SLIC-Index-V2,https://github.com/Nonarkara/SLIC-Index-V2,2026-04-13T12:30:23Z,2026-08-31T12:58:32Z,2026-07-22T11:16:34Z,true,false,JavaScript,0,,SLIC Index V2 — 'Every city ranking is a lie. Here's ours.' (archive)
second-brain-os,Nonarkara/second-brain-os,https://github.com/Nonarkara/second-brain-os,2026-05-02T05:20:46Z,2026-08-09T16:01:20Z,2026-08-09T16:00:49Z,false,false,JavaScript,0,https://github.com/Nonarkara,"A personal operating system built on Obsidian, Claude Code, and a council of three AI siblings — Hannah, Radar, Tenet"
council-watch,Nonarkara/council-watch,https://github.com/Nonarkara/council-watch,2026-05-04T06:18:28Z,2026-06-17T02:57:38Z,2026-06-17T02:57:34Z,false,false,,0,,Council health backstop — pings M3 every 5 min
sciti,Nonarkara/sciti,https://github.com/Nonarkara/sciti,2026-05-07T06:33:38Z,2026-08-21T15:47:18Z,2026-08-21T15:47:09Z,false,false,TypeScript,0,,
nonarkara.org,Nonarkara/nonarkara.org,https://github.com/Nonarkara/nonarkara.org,2026-05-08T05:41:01Z,2026-08-21T15:47:02Z,2026-08-27T07:30:33Z,false,false,JavaScript,0,,
100-days-of-solitude,Nonarkara/100-days-of-solitude,https://github.com/Nonarkara/100-days-of-solitude,2026-05-08T10:57:13Z,2026-08-27T09:04:25Z,2026-08-27T08:59:57Z,false,false,HTML,0,,100 Days of Solitude — Interactive ebook with butterfly page-flip. NON·ISM PRESS.
ninja-innovation,Nonarkara/ninja-innovation,https://github.com/Nonarkara/ninja-innovation,2026-05-08T14:26:43Z,2026-08-21T15:46:47Z,2026-08-21T15:46:42Z,false,false,HTML,0,,Ninja Innovation — interactive ebook by Non Arkara. How a public servant replaces million-dollar platforms with curiosity and public data.
slowdown,Nonarkara/slowdown,https://github.com/Nonarkara/slowdown,2026-05-08T15:29:05Z,2026-08-21T15:47:07Z,2026-08-21T15:46:45Z,false,false,HTML,0,,"The Things You Can See Only When You Slow Down — an interactive art ebook by Dr. Non Arkaraprasertkul. Ten movements, public-domain artworks, Paul-Arden interludes."
mean,Nonarkara/mean,https://github.com/Nonarkara/mean,2026-05-08T20:25:08Z,2026-08-21T15:48:00Z,2026-08-21T15:46:39Z,false,false,JavaScript,0,,A small dictionary by Dr. Non Arkaraprasertkul. 100 words across three languages.
dr-non-agentic-ai-council,Nonarkara/dr-non-agentic-ai-council,https://github.com/Nonarkara/dr-non-agentic-ai-council,2026-05-09T06:44:19Z,2026-08-09T15:54:36Z,2026-08-09T15:54:31Z,false,false,Python,0,https://github.com/nonarkara/dr-non-agentic-ai-council,"A 9-bot AI council that thinks like a Manus-class team — runs on a Mac, costs ~$0-25/month. Divide and conquer, no supercomputer."
100daysofnon,Nonarkara/100daysofnon,https://github.com/Nonarkara/100daysofnon,2026-05-24T19:31:07Z,2026-08-21T15:44:36Z,2026-08-21T15:44:32Z,false,false,HTML,0,,"100-day biographical installation. One question per day, publicly fact-checked."
city-hub,Nonarkara/city-hub,https://github.com/Nonarkara/city-hub,2026-05-26T17:34:26Z,2026-08-04T16:24:18Z,2026-08-04T16:20:34Z,false,false,TypeScript,0,,"Bangkok smart-city operating system — live PM2.5, satellite imagery, civic alerts, AI narratives. Built independent of any single platform."
horizon,Nonarkara/horizon,https://github.com/Nonarkara/horizon,2026-06-01T12:35:36Z,2026-06-01T12:36:15Z,2026-06-01T12:35:42Z,false,false,TypeScript,0,,
globalmonitor-v3,Nonarkara/globalmonitor-v3,https://github.com/Nonarkara/globalmonitor-v3,2026-06-19T16:41:00Z,2026-08-18T13:42:16Z,2026-08-18T13:19:56Z,false,false,JavaScript,0,https://globalmonitor.pages.dev,Global Political Dashboard v3: stabilized Cloudflare/Fly geopolitical intelligence dashboard
nst-control-tower,Nonarkara/nst-control-tower,https://github.com/Nonarkara/nst-control-tower,2026-06-22T11:09:40Z,2026-08-28T16:22:36Z,2026-08-28T16:19:44Z,false,false,TypeScript,0,,Nakhon Si Thammarat Smart City Dashboard — flood-first municipal control tower (React + deck.gl + Hono)
ikigai-finance-engine,Nonarkara/ikigai-finance-engine,https://github.com/Nonarkara/ikigai-finance-engine,2026-06-26T16:35:48Z,2026-06-26T16:35:56Z,2026-06-26T16:35:52Z,false,false,Mermaid,0,,"SME finance intelligence research — screenshots, architecture, finance indices (development stage)"
Axiom-Design-Core,Nonarkara/Axiom-Design-Core,https://github.com/Nonarkara/Axiom-Design-Core,2026-06-26T20:02:04Z,2026-07-04T22:53:18Z,2026-07-04T22:53:14Z,false,false,HTML,0,,Dr Non's Axiom Design Core — living design system for Axiom decision systems. Rams × Moggridge × Norman × MoMA × Maeda × Vignelli.
Rams-NYCTA-Design-Core,Nonarkara/Rams-NYCTA-Design-Core,https://github.com/Nonarkara/Rams-NYCTA-Design-Core,2026-06-26T20:13:15Z,2026-07-04T22:53:43Z,2026-07-04T22:53:40Z,false,false,HTML,0,,Dr Non's Rams × NYCTA Design Core — Dieter Rams × Noorda/Vignelli. Three-layer interface standard with Non Arkaraprasertkul's philosophical substrate.
each,Nonarkara/each,https://github.com/Nonarkara/each,2026-06-27T11:22:14Z,2026-07-04T17:53:05Z,2026-07-04T17:53:01Z,false,false,TypeScript,0,https://each.nonarkara.org,"Each — ERP · ACT · CRM · HR for the startup. One spine, four pillars. By Axiom."
FloodDash-Blueprint,Nonarkara/FloodDash-Blueprint,https://github.com/Nonarkara/FloodDash-Blueprint,2026-07-04T15:42:28Z,2026-07-28T07:35:09Z,2026-07-28T07:34:39Z,false,false,,0,,"Open invitation: the ideas behind FloodDash (Thailand flood-monitoring system) -- architecture, free data sources, the science, design language, and a build-your-own roadmap. No source code. Bilingual TH/EN."
freellmapi,Nonarkara/freellmapi,https://github.com/Nonarkara/freellmapi,2026-07-04T20:27:25Z,2026-07-04T20:35:06Z,2026-07-04T20:35:01Z,false,true,TypeScript,0,https://freellmapi.co,"OpenAI-compatible proxy that stacks the free tiers of 16 LLM providers (~1.7B tokens/month) behind one /v1 endpoint — plus any custom OpenAI-compatible endpoint. Smart routing, automatic failover, encrypted keys. Personal experimentation only."
supabase,Nonarkara/supabase,https://github.com/Nonarkara/supabase,2026-07-04T20:27:25Z,2026-07-04T20:36:06Z,2026-07-04T20:35:25Z,false,true,TypeScript,0,https://supabase.com,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications."
luma-house,Nonarkara/luma-house,https://github.com/Nonarkara/luma-house,2026-07-15T12:44:57Z,2026-08-21T15:44:29Z,2026-08-21T15:44:24Z,false,false,TypeScript,0,,Luma House — gesture-first home design prototype with concept renders
airdash,Nonarkara/airdash,https://github.com/Nonarkara/airdash,2026-07-16T16:57:05Z,2026-08-29T15:16:22Z,2026-08-29T15:10:58Z,false,false,JavaScript,0,,AirDash — 24/7 air quality & PM2.5 watch for Thailand
slic-index-v1-recovered,Nonarkara/slic-index-v1-recovered,https://github.com/Nonarkara/slic-index-v1-recovered,2026-07-22T04:11:02Z,2026-08-31T12:58:35Z,2026-07-22T11:14:21Z,true,false,TypeScript,0,,"SLIC Index V1 — the original live public city model. 100-city preview, one declared formula, zero black boxes. Recovered from the March 9, 2026 build (SLIC-Index commit 6a614bb). [Archive — see SLIC-Index for V3]"
ikigai-finance,Nonarkara/ikigai-finance,https://github.com/Nonarkara/ikigai-finance,2026-07-28T17:08:27Z,2026-08-18T11:17:30Z,2026-08-18T11:16:20Z,false,false,JavaScript,0,,Open-source single-company financial cockpit with Telegram evidence intake and Google Sheets sync
BKKx,Nonarkara/BKKx,https://github.com/Nonarkara/BKKx,2026-08-03T20:42:41Z,2026-08-25T17:49:42Z,2026-08-31T10:31:05Z,false,false,TypeScript,0,https://bkk.nonarkara.org,"Bangkok, block by block — an open playable Minecraft city atlas"
games,Nonarkara/games,https://github.com/Nonarkara/games,2026-08-05T09:47:14Z,2026-08-25T16:35:30Z,2026-08-25T16:29:11Z,false,false,JavaScript,0,,
dr-non-openclaw-setup,Nonarkara/dr-non-openclaw-setup,https://github.com/Nonarkara/dr-non-openclaw-setup,2026-08-09T16:06:38Z,2026-08-09T16:46:00Z,2026-08-09T16:45:07Z,false,false,,0,,"Hand this URL to Claude and it sets up OpenClaw for you — safely. Agent-executable setup (AGENTS.md), deep security model, 16GB local-LLM picks, and risk-tiered tool calls. Docs only, no private data."
BKKxCulture,Nonarkara/BKKxCulture,https://github.com/Nonarkara/BKKxCulture,2026-08-11T03:36:19Z,2026-08-11T04:49:38Z,2026-08-11T04:49:34Z,false,false,TypeScript,0,,"Bangkok's heritage, block by block — Fine Arts Department register, 9 quarters, 7 walks, 3D atlas view. The Culture half of the BKKx pair; the operational digital twin lives at atlas.nonarkara.org / Nonarkara/bkk-3d-atlas."
dr-non-vibecoding-skills,Nonarkara/dr-non-vibecoding-skills,https://github.com/Nonarkara/dr-non-vibecoding-skills,2026-08-13T05:55:00Z,2026-08-27T11:12:22Z,2026-08-27T11:07:48Z,false,false,Shell,0,,"31 skills + 10 playbooks, distilled from 1,691 commits and 110 always-on services. The system I use every day to ship real software alone with AI agents — memory ladder, deploy discipline, design DNA, 3D city maps, local AI + voice cloning. Plain markdown, no runtime; loads in Claude Code, Antigravity, Codex, Cursor, Gemini CLI, Aider, OpenCode."
Non-Cast,Nonarkara/Non-Cast,https://github.com/Nonarkara/Non-Cast,2026-08-31T12:23:00Z,2026-08-31T12:40:08Z,2026-08-31T12:38:28Z,false,false,Python,0,,"Fork this, add your corpus, get a daily podcast. Agent-agnostic."
zero-to-one,Nonarkara/zero-to-one,https://github.com/Nonarkara/zero-to-one,2026-08-31T13:03:21Z,2026-08-31T13:03:23Z,2026-08-31T13:03:23Z,false,false,,0,,"How Dr Non went from a city-reporter bot (Oct 2024) to an open civic studio. Reconstructable history of this GitHub account — artifacts, maps, and the trail from zero to one."
